Wall time,Step,Value
1745084059.5681355,500,16.136672973632812
1745084076.8539314,600,19.697343826293945
1745084179.5271797,1200,16.254196166992188
1745084247.5323882,1600,17.803991317749023
1745084264.8934226,1700,18.21051025390625
1745084316.0334787,2000,20.643898010253906
1745084333.4813433,2100,21.11456298828125
1745084350.9138067,2200,20.987499237060547
1745084382.9574757,2400,21.877220153808594
1745084400.5185702,2500,21.261503219604492
1745084450.2189708,2800,18.92266082763672
1745084467.9729488,2900,19.66425132751465
1745084661.1499376,4000,21.710336685180664
1745084695.0256817,4200,22.570457458496094
1745084818.6443698,4900,35.79364776611328
1745084836.2750063,5000,33.55095291137695
1745084852.1406624,5100,36.79594421386719
1745084886.493806,5300,43.3456916809082
1745084935.1023731,5600,41.41933822631836
1745084985.894234,5900,36.812164306640625
1745085033.6846564,6200,34.20723342895508
1745085050.2692556,6300,31.18082046508789
1745085067.0173175,6400,33.91269302368164
1745085080.728011,6500,32.51633834838867
1745085113.233422,6700,34.15138626098633
1745085129.4734035,6800,38.76320266723633
1745085143.079625,6900,37.15739822387695
1745085159.5460012,7000,40.70589065551758
1745085192.9582329,7200,50.81834030151367
1745085209.7907217,7300,56.135284423828125
1745085306.1910179,7900,58.76973342895508
1745085339.4013577,8100,58.79172134399414
1745085355.8254895,8200,59.122928619384766
1745085385.8054292,8400,58.21723937988281
1745085431.5535796,8700,56.88724136352539
1745085497.055468,9100,64.37248992919922
1745085657.8716555,10100,67.02024841308594
1745085674.2973745,10200,64.98470306396484
1745085723.5866785,10500,62.97296142578125
1745085770.080673,10800,64.63511657714844
1745085786.5938115,10900,65.68191528320312
1745085816.9098942,11100,70.20270538330078
1745085932.2195826,11800,74.79438018798828
1745086012.894544,12300,74.22582244873047
1745086076.4662147,12700,69.06729125976562
1745086092.8575554,12800,74.4254150390625
1745086123.406764,13000,72.75788116455078
1745086157.183551,13200,75.77116394042969
1745086171.5707066,13300,77.46522521972656
1745086253.204375,13800,86.01155090332031
1745086270.2170162,13900,81.17425537109375
1745086383.7037735,14600,86.95903778076172
1745086413.819969,14800,87.68712615966797
1745086430.3980696,14900,89.2465591430664
1745086478.1050837,15200,94.86939239501953
1745086593.0738375,15900,99.64098358154297
1745086640.3117895,16200,99.8743896484375
1745086673.389534,16400,99.83901977539062
1745086703.9402928,16600,100.96527099609375
1745086800.835923,17200,107.79552459716797
1745086817.526086,17300,109.93405151367188
1745086832.00755,17400,110.66813659667969
1745086882.16658,17700,112.58124542236328
1745086898.9683216,17800,110.8619155883789
1745086913.1181986,17900,116.45068359375
1745086977.0417233,18300,117.99520874023438
1745087026.5237103,18600,116.0101318359375
1745087043.1031616,18700,118.6641845703125
1745087056.9624972,18800,117.81084442138672
1745087123.5248296,19200,123.49539947509766
1745087137.9192998,19300,124.72705841064453
1745087154.6183398,19400,126.22745513916016
1745087269.358477,20100,129.5360565185547
1745087316.540702,20400,130.33200073242188
1745087332.9978848,20500,131.93995666503906
1745087347.0840359,20600,128.74794006347656
1745087363.4440498,20700,130.42396545410156
1745087396.7613442,20900,129.18896484375
1745087427.7170084,21100,133.9048614501953
1745087461.274493,21300,138.18385314941406
1745087492.3254657,21500,135.8145751953125
1745087526.0085151,21700,136.55567932128906
1745087542.6010015,21800,132.20423889160156
1745087589.9403536,22100,137.29676818847656
1745087606.2692516,22200,137.2642059326172
1745087622.8520396,22300,139.34239196777344
1745087639.4130821,22400,140.43826293945312
1745087669.7282803,22600,144.4041290283203
1745087750.354489,23100,144.72872924804688
1745087912.6752727,24100,140.41043090820312
1745087943.4861867,24300,148.115234375
1745087992.7997508,24600,149.2634735107422
1745088007.0195396,24700,151.75067138671875
1745088023.393282,24800,151.56976318359375
1745088155.2756581,25600,156.91404724121094
1745088219.4164436,26000,152.78382873535156
1745088233.4451098,26100,153.10630798339844
1745088250.1665084,26200,154.3948974609375
1745088283.3963518,26400,153.87997436523438
1745088411.251916,27200,156.73094177246094
1745088428.216576,27300,156.5051727294922
1745088475.8169987,27600,162.06565856933594
1745088509.490295,27800,163.64476013183594
1745088540.285983,28000,155.98794555664062
1745088573.3335557,28200,154.3126983642578
1745088604.4164624,28400,158.6792755126953
1745088620.683512,28500,154.112060546875
1745088653.8218663,28700,155.822998046875
1745088684.562745,28900,160.51036071777344
